Case Number,Date,Year,Country,Activity,Sex,Age,Fatal (Y/N),Time,Species
2018.06.25,25-Jun-2018,2018.0,USA,Paddling,F,57,N,18h00,White shark
2018.06.18,18-Jun-2018,2018.0,USA,Standing,F,11,N,14h00  -15h00,
2018.06.09,09-Jun-2018,2018.0,USA,Surfing,M,48,N,07h45,
2018.06.08,08-Jun-2018,2018.0,AUSTRALIA,Surfing,M,,N,,2 m shark
2018.06.04,04-Jun-2018,2018.0,MEXICO,Diving,M,,N,,"Tiger shark, 3m"
2018.06.03.b,03-Jun-2018,2018.0,AUSTRALIA,Surfing,M,,N,,
2018.06.03.a,03-Jun-2018,2018.0,BRAZIL,Swimming,M,18,Y,Late afternoon,Tiger shark
2018.05.27,27-May-2018,2018.0,USA,Fishing,M,52,N,,"Lemon shark, 3'"
2018.05.26.b,26-May-2018,2018.0,USA,Walking,M,15,N,17h00,"Bull shark, 6'"
2018.05.26.a,26-May-2018,2018.0,USA,Standing,M,12,N,14h00,
2018.05.24,24-May-2018,2018.0,AUSTRALIA,Feeding sharks,M,32,N,Morning,Grey reef shark
2018.05.21,21-May-2018,2018.0,USA,Boogie boarding,M,10,N,,
2018.05.13.b,13-May-2018,2018.0,USA,Swimming,M,10,N,15h00,
2018.05.13.a,13-May-2018,2018.0,ENGLAND,Fishing,M,21,N,08h15,Invalid incident
2018.05.00,May 2018,2018.0,AUSTRALIA,Feeding sharks,F,34,N,,"Tawny nurse shark, 2m"
2018.05.12,12-May-2018,2018.0,SOUTH AFRICA,Surfing,M,,N,11h00,
2018.05.09,09-May-2018,2018.0,AUSTRALIA,Surfing,M,,N,10h30,Shark involvement not confirmed
2018.04.30.R,Reported 30-Apr-2018,2018.0,THAILAND,Swimming,M,,N,,
2018.04.28.b,28-Apr-2018,2018.0,COSTA RICA,Diving,M,30,N,10h40,Tiger shark
2018.04.28.a,28-Apr-2018,2018.0,AUSTRALIA,Surfing,M,,N,16h50,
2018.04.25.b,25-Apr-2018,2018.0,AUSTRALIA,Surfing,M,,N,07h00,Questionable
2018.04.25.a,25-Apr-2018,2018.0,AUSTRALIA,Surfing,M,60,N,09h30,3 m shark
2018.04.24,24-Apr-2018,2018.0,AUSTRALIA,Surfing,M,,N,Afternoon,"White shark, 3.5 m"
2018.04.23,23-Apr-2018,2018.0,MALDIVES,Fishing,M,32,N,21h50,Tiger shark
2018.04.22,22-Apr-2018,2018.0,SOUTH AFRICA,Paddle-skiing,M,33,N,09h40,"White shark, 2.5 m"
2018.04.19,19-Apr-2018,2018.0,USA,Body boarding,M,29,N,,6' shark
2018.04.15.d,15-Apr-2018,2018.0,THAILAND,Swimming,M,54,N,,Juvenile bull shark
2018.04.15.c,15-Apr-2018,2018.0,BRAZIL,Swimming,M,34,,,
2018.04.15.b,15-Apr-2018,2018.0,AUSTRALIA,Surfing,M,41,N,,
2018.04.15.a,15-Apr-2018,2018.0,AUSTRALIA,Surfing,M,37,N,08h00,
2018.04.14,14-Apr-2018,2018.0,BAHAMAS,Surfing,M,,N,09h30,Tiger shark
2018.04.10.R,Reported 10-Apr-2018,2018.0,BRAZIL,Fishing,M,56,N,,Shark involvement not confirmed
2018.04.09,09-Apr-2018,2018.0,NEW CALEDONIA,Surfing,,,N,17h00,2 m shark
2018.04.05,05-Apr-2018,2018.0,BAHAMAS,Swimming,M,12,N,18h00,Bull shark
2018.04.03,03-Apr-2018,2018.0,SOUTH AFRICA,Surfing,M,19,N,15h00,White shark
2018.03.31,31-Mar-2018,2018.0,USA,Standing,M,25,N,09h30,"Tiger shark, 12'"
2018.03.14,14-Mar-2018,2018.0,AUSTRALIA,Wading,M,10,N,17h35,Wobbegong shark
2018.03.09.b,9-Mar-2018,2018.0,AUSTRALIA,Swimming,M,69,N,15h30,3.5 m shark
2018.03.09.a,9-Mar-2018,2018.0,AUSTRALIA,Surfing,M,18,N,07h30,1.8 m shark
2018.02.24,24-Feb-2018,2018.0,SOUTH AFRICA,Diving,M,38,N,,Blacktip shark
2018.02.23,23-Feb-2018,2018.0,AUSTRALIA,Swimming,F,55,N,"19h00, Dusk","Juvenile white shark,  2.7 to 3.2 m"
2018.02.17,18-Feb-2018,2018.0,AUSTRALIA,Fishing,M,34,N,Night,
2018.02.15,15-Feb-2018,2018.0,AUSTRALIA,Walking,M,35,N,16h00,"Bull shark, 2 m"
2018.02.14,14-Feb-2018,2018.0,AUSTRALIA,Swimming,F,,N,18h00,Possibly a wobbegong
2018.02.11,11-Feb-2018,2018.0,BRAZIL,Fishing,F,46,N,,"Injury believed caused by an eel, not a shark"
2018.02.03,03-Feb-2018,2018.0,ECUADOR,Diving,M,45,N,,Galapagos shark?
2018.02.01,01-Feb-2018,2018.0,AUSTRALIA,Fishing,M,14,N,,2m shark
2018.01.28,28-Jan-2018,2018.0,AUSTRALIA,,M,18,N,08h00,Bull shark
2018.01.21,21-Jan-2018,2018.0,NEW CALEDONIA,Fishing,M,40s,N,15h30,"Bull shark, 3 m "
2018.01.14,14-Jan-2018,2018.0,AUSTRALIA,Diving,M,,N,15h01,Grey reef shark. 2 m
2018.01.13,13-Jan-2018,2018.0,AUSTRALIA,Diving,M,28,N,,"White shark, 3.5 m"
2018.01.12,12-Jan-2018,2018.0,BRAZIL,Surfing,M,20,N,Late afternoon,small shark
2018.01.05,05-Jan-2018,2018.0,AUSTRALIA,Surfing,M,,N,,Wobbegong shark?
2017.12.31,31-Dec-2017,2017.0,USA,Surfing,F,54,N,18h00,Tiger shark
2017.12.30,30-Dec-2017,2017.0,USA,Surfing,F,35,N,12h00,
2017.12.21,21-Dec-2017,2017.0,MALAYSIA,Fishing,M,24,N,,Juvenile nurse shark
2017.12.09,09-Dec-2017,2017.0,BAHAMAS,Diving,F,25,N,,Nurse shark. 5'
2017.11.30.b,30-Nov-2017,2017.0,COSTA RICA,Diving,M,26,N,,"Tiger shark, female"
2017.11.30.a,30-Nov-2017,2017.0,COSTA RICA,Diving,F,49,Y,,"Tiger shark, female"
2017.11.25.R,Reported 25-Nov-2017,2017.0,LIBYA,Fishing,,,Y,,Some drowned but other may have been killed by blue sharks
2017.11.24,24-Nov-2017,2017.0,USA,Fishing,M,25,N,13h45,"White shark, 4.6 m"
2017.11.18,18-Nov-2017,2017.0,USA,Surfing,F,14,N,Late afternoon,
2017.11.13.R,Reported 13-Nov-2017,2017.0,,Surfing,M,24,N,,
2017.11.13,13-Nov-2017,2017.0,AUSTRALIA,Surfing,M,25,N,16h00,2 m shark
2017.11.04,04-Nov-2017,2017.0,CUBA,Bathing,M,22,Y,23h30,Tiger shark
2017.10.31.R,Reported 31-Oct-2017,2017.0,AUSTRALIA,Diving,M,7,N,,Cookiecutter shark
2017.10.28,28-Oct-2017,2017.0,AUSTRALIA,Surfing,M,31,N,09h00,"Wobbegong shark, 1 m"
2017.10.26,26-Oct-2017,2017.0,USA,Standing,M,,N,15h00,
2017.10.23.c,23-Oct-2017,2017.0,MAURITIUS,Swimming,M,,N,Afternoon,
2017.10.23.b,23-Oct-2017,2017.0,USA,Surfing,M,17,N,17h00,
2017.10.23.a,23-Oct-2017,2017.0,USA,Swimming,F,60,N,08h00,
2017.10.22,22-Oct-2017,2017.0,AUSTRALIA,Fishing,F,15,N,Afternoon,"White shark, 4.5 m"
2017.10.21,21-Oct-2017,2017.0,NEW ZEALAND,Kayaking,M,,N,09h00,2 m shark
2017.10.18,18-Oct-2017,2017.0,USA,Swimming,M,,N,14h30,"Spinner shark, 4 to 5 feet"
2017.10.09,09-Oct-2017,2017.0,USA,Surfing,M,54,N,18h30,"Tiger shark, 8 to 10 feet"
2017.10.05,05-Oct-2017,2017.0,USA,Diving,F,40,N,12h30,8' shark
2017.10.01,01-Oct-2017,2017.0,SOUTH AFRICA,Diving,M,31,,,Death may have been due to drowning
2017.09.25.b,25-Sep-2017,2017.0,USA,Surfing,M,,N,Morning,5' shark
2017.09.25.a,25-Sep-2017,2017.0,AUSTRALIA,Surfing,M,,N,18h00,"White shark, 3.5 m"
2017.09.24.b,24-Sep-2017,2017.0,USA,Surfing,M,33,,15h30,Questionable
2017.09.24.a,24-Sep-2017,2017.0,USA,Surfing,M,,N,14h00,4' to 5' shark
2017.09.20,20-Sep-2017,2017.0,USA,Surfing,M,,N,Morning,
2017.09.16.b,16-Sep-2017,2017.0,SPAIN,Surfing,M,13,N,,"Porbeagle, 1.5 m"
2017.09.16.a,16-Sep-2017,2017.0,USA,Surfing,M,28,N,16h30,
2017.09.15.b,15-Sep-2017,2017.0,SOUTH AFRICA,Diving,M,25,,Afternoon,
2017.09.15.a,15-Sep-2017,2017.0,SAMOA,Fishing,M,,N,Night,
2017.09.14,Sep-2017,2017.0,AUSTRALIA,Fishing,,,N,,"White shark, 3.5m"
2017.09.13,13-Sep-2017,2017.0,USA,Surfing,M,18,N,18h45,5' to 6' shark
2017.09.10.b,10-Sep-2017,2017.0,AUSTRALIA,Swimming,M,,N,15h00,
2017.09.10.a,10-Sep-2017,2017.0,AUSTRALIA,Surfing,M,35,N,06h00,"White shark, 3 to 3.5m "
2017.09.06.R,Reported 06-Sep-2017,2017.0,SOLOMON ISLANDS,Fishing,M,,N,,
2017.09.03.b,03-Sep-2017,2017.0,SOUTH AFRICA,Swimming,M,,Y,Morning,
2017.09.03.a,03-Sep-2017,2017.0,JAPAN,Surfing,M,42,N,10h00,
2017.09.02.c,02-Sep-2017,2017.0,USA,Swimming,M,,N,,Nurse shark
2017.09.02.b,02-Sep-2017,2017.0,USA,Swimming,F,,N,,
2017.09.02.a,02-Sep-2017,2017.0,USA,Surfing,M,17,N,10h44,
2017.08.29,29-Aug-2017,2017.0,AUSTRALIA,Surfing,M,37,N,10h30,"White shark, 3 m"
2017.08.27,27-Aug-2017,2017.0,USA,Wading,F,3,N,13h19,
2017.08.26.b,26-Aug-2017,2017.0,SPAIN,Swimming,F,11,,Midday,Shark involvement questionable
2017.08.26.a,26-Aug-2017,2017.0,NEW ZEALAND,Canoeing,M,,N,,
2017.08.23,23-Aug-2017,2017.0,USA,SUP,M,69,N,10h00,"White shark, 5' to 7'"
2017.08.18,18-Aug-2017,2017.0,BAHAMAS,Fishing,M,,N,15h00,5' shark
2017.08.10,10-Aug-2017,2017.0,USA,Swimming,M,13,N,13h30,Possibly a juvenile blacktip shark
2017.08.05,05-Aug-2017,2017.0,EGYPT,Diving,F,20,N,,"Oceanic whitetip shark, 1.8 to 2 m"
2017.08.03,03-Aug-2017,2017.0,USA,Fishing,M,34,N,23h30,4' shark
2017.08.01,01-Aug-2017,2017.0,USA,Fishing,M,,N,10h45,"White shark, 10'"
2017.07.31,31-Jul-2017,2017.0,USA,Skimboarding,M,15,N,18h30,
2017.07.29.c,29-Jul-2017,2017.0,USA,Swimming,M,10,,15h00,A small shark
2017.07.29.a,29-Jul-2017,2017.0,USA,,F,12,N,Afternoon,
2017.07.27,27-Jul-2017,2017.0,BAHAMAS,Diving,F,,N,,
2017.07.26.R,Reported 26-Jul-2017,2017.0,BAHAMAS,Fishing,M,,N,,
2017.07.24,24-Jul-2017,2017.0,"ST HELENA, British overseas territory",Surfing,M,37,N,17h00,
2017.07.23.b,23-Jul-2017,2017.0,USA,,F,,N,,Sandtiger shark  2'
2017.07.23.a,23-Jul-2017,2017.0,SPAIN,Swimming,F,,N,Afternoon,Blue shark 6'
2017.07.22,22-Jul-2017,2017.0,USA,,F,40,N,12h30,"""A small shark"""
2017.07.20.c,20-Jul-2017,2017.0,USA,Swimming,F,8,,,Shark involvement not confirmed
2017.07.20.b,20-Jul-2017,2017.0,USA,Kayaking,M,40,N,11h20,"White shark, 11' to 13'"
2017.07.20.a,20-Jul-2017,2017.0,USA,SUP,M,50,N,07h45,"White shark, 8' to 10'"
2017.07.14.b,14-Jul-2017,2017.0,USA,Surfing,M,,N,18h30,"White shark, 9'"
2017.07.14.a,14-Jul-2017,2017.0,AUSTRALIA,Surfing,M,,N,11h45,
2017.07.11,11-Jul-2017,2017.0,USA,Kayaking,M,,N,11h00,White shark
2017.07.09,09-Jul-2017,2017.0,USA,Swimming,M,46,N,15h30,"Bull shark, 4' to 5'"
2017.07.07.R,Reported 07-Jul-2017,2017.0,MEXICO,Fishing,M,32,N,,"Tiger shark, 100 kg"
2017.07.07,07-Jul-2017,2017.0,SOUTH AFRICA,Surfing,F,13,N,15h00,"White shark, 2.5 m"
2017.07.02,02-Jul-2017,2017.0,COMOROS,Fishing,,,,,Shark involvement prior to death not confirmed
2017.06.29,29-Jun-2017,2017.0,USA,Fishing,M,,,19h30,No shark invovlement 
2017.06.21,21-Jun-2017,2017.0,USA,Swimming,F,16,N,,
2017.06.19,19-Jun-2017,2017.0,USA,Surfing,M,,N,Morning,
2017.06.18.b,18-Jun-2017,2017.0,USA,Swimming,F,14,N,,"Bull shark, 4' to 5'"
2017.06.18.a,18-Jun-2017,2017.0,REUNION,Body boarding,M,34,N,10h00,"Bull shark, 2m"
2017.06.17,17-Jun-2017,2017.0,SPAIN,Swimming,M,82,N,12h00,
2017.06.05,2017.06.05,2017.0,FRENCH POLYNESIA,Surfing,M,,N,,
2017.06.14.R,Reported 14-Jun-2017,2017.0,BAHAMAS,Feeding sharks,F,,N,,
2017.06.11,11-Jun-2017,2017.0,AUSTRALIA,Body boarding,M,48,N,08h30,"White shark, 4 m"
2017.06.10.b,10-Jun-2017,2017.0,AUSTRALIA,Surfing,F,,N,15h45,Seven-gill shark
2017.06.10.a,10-Jun-2017,2017.0,USA,Surfing,M,19,N,10h00,
2017.06.07.R,Reported 07-Jun-2017,2017.0,UNITED KINGDOM,Surfing,M,30,N,,"3m shark, probably a smooth hound"
2017.06.04,04-Jun-2017,2017.0,USA,Fishing,M,,N,,8' shark
2017.06.02,02-Jun-2017,2017.0,BAHAMAS,Diving,F,32,N,Shortly before 12h00,Tiger shark
2017.05.30,30-May-2017,2017.0,USA,Touching a shark,F,20,N,,3' shark
2017.05.28,28-May-2017,2017.0,USA,Feeding sharks,M,,N,Morning,Tiger shark
2017.05.27,27-May-2017,2017.0,AUSTRALIA,Fishing,M,73,N,,
2017.05.12,12-May-2017,2017.0,UNITED ARAB EMIRATES,Fishing,M,41,N,Morning,
2017.05.06.R,Reported 06-May-2017,2017.0,AUSTRALIA,Attempting to lasso a shark,M,29,N,,9' shark
2017.05.06,05-May-2017,2017.0,MEXICO,Diving,M,33,Y,17h00,
2017.05.03,03-May-2017,2017.0,USA,Surfing,F,18,,14h30,Shark involvement highly doubtful
2017.04.29.d,29-Apr-2017,2017.0,USA,Swimming,F,,N,17h34,
2017.04.29.c,29-Apr-2017,2017.0,SOUTH AFRICA,Surfing,M,14,N,17h10,
2017.04.29.b,29-Apr-2017,2017.0,USA,Surfing,F,33,N,11h00,
2017.04.29.a,29-Apr-2017,2017.0,REUNION,Body boarding,M,28,Y,11h15,
2017.04.27,27-Apr-2017,2017.0,NEW ZEALAND,Body boarding,F,20s,N,14h00,
2017.04.26,26-Apr-2017,2017.0,USA,Photo shoot,F,,,,No shark invovlement - it ws a publicity stunt
2017.04.22,22-Apr-2017,2017.0,"ST HELENA, British overseas territory",Diving,F,40,N,16h00,
2017.04.20,20-Apr-2017,2017.0,USA,Swimming,M,,,08h50,Shark involvement not confirmed
2017.04.17.b,17-Apr-2017,2017.0,USA,,,,N,Afternoon,
2017.04.17.a,17-Apr-2017,2017.0,AUSTRALIA,Surfing,F,17,Y,16h00,White shark
2017.04.14,14-Apr-2017,2017.0,USA,Surfing,M,28,N,09h00,"Tiger shark, 12'"
2017.04.13,13-Apr-2017,2017.0,USA,Surfing,M,17,N,13h30,
2017.04.12.b,12-Apr-2017,2017.0,USA,Surfing,F,,N,13h45,
2017.04.12.a,12-Apr-2017,2017.0,SOUTH AFRICA,Diving,M,68,,,Shark involvement prior to death not confirmed
2017.04.11,11-Apr-2017,2017.0,USA,Surfing,F,35,N,16h00,
2017.04.10.b,10-Apr-2017,2017.0,USA,Paddle boarding,F,10,N,17h45,
2017.04.10.a,10-Apr-2017,2017.0,USA,Swimming,F,21,N,17h00,
2017.04.06,06-Apr-2017,2017.0,USA,Swimming,M,16,N,,
2017.04.05,05-Apr-2017,2017.0,USA,Swimming,F,51,N,13h00,
2017.04.02.b,02-Apr-2017,2017.0,AUSTRALIA,Kakaying,M,39,N,Afternoon,
2017.04.02.a,02-Apr-2017,2017.0,USA,Swimming,F,17,N,15h00,"Bull shark, 5' to 7'"
2017.03.27,27-Mar-2017,2017.0,USA,Surfing,M,58,N,10h00,
2017.03.19,19-Mar-2017,2017.0,AUSTRALIA,Body boarding,M,30,N,18h30,
2017.03.18,18-Mar-2017,2017.0,USA,Kayaking,M,,N,14h30,White shark
2017.03.11,11-Mar-2017,2017.0,PHILIPPINES,Fishing,M,25,N,,10' shark
2017.03.09,Reported 09-Mar-2017,2017.0,BAHAMAS,Washing hands,M,58,N,,Lemon shark
2017.02.25,25-Feb-2017,2017.0,AUSTRALIA,Diving,F,,N,Morning,"Bull shark, 1.5"
2017.02.24,24-Feb-2017,2017.0,AUSTRALIA,Surfing,M,,N,Morning,
2017.02.21,21-Feb-2017,2017.0,REUNION,Body boarding,M,26,Y,09h30,
2017.02.17,17-Feb-2017,2017.0,AUSTRALIA,Fishing,M,26,N,10h20,
2017.02.11,11-Feb-2017,2017.0,USA,Swimming,M,22,N,13h30,
2017.02.06.b,06-Feb-2017,2017.0,BRAZIL,Grabbing shark for a selfie,F,,N,Afternoon,Lemon shark pup
2017.02.06.a,06-Feb-2017,2017.0,SOUTH AFRICA,Fishing,M,,N,,Tiger shark
2017.02.01.b,01-Feb-2017,2017.0,USA,Tagging sharks,,,N,,"White shark, female, 14'"
2017.02.01.a,01-Feb-2017,2017.0,BAHAMAS,Diving,M,37,N,,Caribbean reef shark
2017.01.24,24-Jan-2017,2017.0,BRAZIL,Swimming,M,21,N,13h20,
